price,promo_price,code,size,url,out_of_stock,shop_id,address,product_count
748.00,,ПР0015465,700 г,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-shchenkov-pro-plan-dlya-melkikh-i-karlikovykh-porod-kuritsa-ris/?oid=255911,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
2368.00,,ПР0015501,3 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-shchenkov-pro-plan-dlya-melkikh-i-karlikovykh-porod-kuritsa-ris/?oid=255909,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
4768.00,,ПР0059712,7 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-shchenkov-pro-plan-dlya-melkikh-i-karlikovykh-porod-kuritsa-ris/?oid=450226,True,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",
798.00,,Т0031582,700 г,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-pro-plan-dlya-melkikh-porod-s-chuvstvitelnoy-kozhey-losos-ris/?oid=349011,True,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",
2998.00,,ПР0015503,3 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-pro-plan-dlya-melkikh-porod-s-chuvstvitelnoy-kozhey-losos-ris/?oid=253419,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
5598.00,,ПР0059708,7 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-pro-plan-dlya-melkikh-porod-s-chuvstvitelnoy-kozhey-losos-ris/?oid=450194,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",мало
698.00,,Т0055080,700 г,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-pro-plan-dlya-melkikh-i-karlikovykh-porod-kuritsa-ris/?oid=253422,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
2298.00,,ПР0015502,3 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-pro-plan-dlya-melkikh-i-karlikovykh-porod-kuritsa-ris/?oid=349008,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
2298.00,,ПР0048387,3 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-royal-canin-size-medium-adult-dlya-srednikh-porod/?oid=349661,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",мало
10198.00,9178.2,Т00021225,15 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-royal-canin-size-medium-adult-dlya-srednikh-porod/?oid=254172,True,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",
2498.00,,ПР0048388,3 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-shchenkov-royal-canin-maxi-puppy-dlya-krupnykh-porod/?oid=349664,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",мало
2698.00,,ПР0048389,3 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-shchenkov-royal-canin-medium-puppy-dlya-srednikh-porod-ot-2-do-12-mesyatsev/?oid=349667,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
3198.00,,Т0043316,3 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-shchenkov-royal-canin-french-bulldog-puppy-dlya-porody-frantsuzskiy-buldog-do-12-mes/?oid=256016,True,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",
8619.00,7757.1,ПР0072742,10 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-shchenkov-royal-canin-french-bulldog-puppy-dlya-porody-frantsuzskiy-buldog-do-12-mes/?oid=579000,True,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",
1543.00,,ПР0069186,1 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-grandorf-dlya-melkikh-porod-indeyka-sukh/?oid=553196,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
3603.00,,ПР0066821,3 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-grandorf-dlya-melkikh-porod-indeyka-sukh/?oid=528099,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
1498.00,,ПР0069073,1 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-grandorf-dlya-srednikh-i-krupnykh-porod-yagnenok-s-indeykoy-sukh/?oid=551015,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",много
3603.00,,ПР0066188,3 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-grandorf-dlya-srednikh-i-krupnykh-porod-yagnenok-s-indeykoy-sukh/?oid=528103,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
8959.00,,ПР0067311,10 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-grandorf-dlya-srednikh-i-krupnykh-porod-yagnenok-s-indeykoy-sukh/?oid=526911,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
1498.00,,ПР0069074,1 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-grandorf-dlya-srednikh-i-krupnykh-porod-belaya-ryba-sukh/?oid=551013,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
3603.00,,ПР0068544,3 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-grandorf-dlya-srednikh-i-krupnykh-porod-belaya-ryba-sukh/?oid=548136,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
8959.00,,ПР0067298,10 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-grandorf-dlya-srednikh-i-krupnykh-porod-belaya-ryba-sukh/?oid=528093,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
1498.00,,ПР0068615,1 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-shchenkov-grandorf-yagnenok-s-indeykoy-sukh/?oid=564276,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
3498.00,,ПР0068715,3 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-shchenkov-grandorf-yagnenok-s-indeykoy-sukh/?oid=555746,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
8698.00,,ПР0069024,10 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-shchenkov-grandorf-yagnenok-s-indeykoy-sukh/?oid=564274,True,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",
3706.00,,ПР0066624,3 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-grandorf-chetyre-vida-myasa-dlya-melkikh-porod-sukh/?oid=528106,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",много
7698.00,,ПР0074039,8 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-grandorf-dog-dlya-melkikh-porod-yagnyenok-s-indeykoy-sukh/?oid=593610,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
1498.00,,ПР0069444,1 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-grandorf-dlya-srednikh-i-krupnykh-porod-indeyka-sukh/?oid=556744,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
3498.00,,ПР0069445,3 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-grandorf-dlya-srednikh-i-krupnykh-porod-indeyka-sukh/?oid=556746,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
8698.00,,ПР0068082,10 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-grandorf-dlya-srednikh-i-krupnykh-porod-indeyka-sukh/?oid=532976,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
1646.00,,ПР0068798,1 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-grandorf-dlya-melkikh-porod-chetyre-vida-myasa-sukh/?oid=546787,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",много
3706.00,,ПР0067069,3 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-grandorf-chetyre-vida-myasa-s-probiotikami-dlya-srednikh-i-krupnykh-porod-sukh/?oid=528109,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
1498.00,,ПР0069439,1 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-molodykh-sobak-grandorf-dlya-srednikh-i-krupnykh-porod-yagnenok-s-indeykoy-sukh/?oid=564279,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
3498.00,,ПР0069185,3 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-molodykh-sobak-grandorf-dlya-srednikh-i-krupnykh-porod-yagnenok-s-indeykoy-sukh/?oid=564281,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
8698.00,,ПР0068716,10 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-shchenkov-grandorf-s-4-mesyatsev-yagnenok-s-indeykoy-sukh/?oid=555744,True,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",
1198.00,,ПР0067657,1 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-premier-dog-dlya-melkikh-porod-svezhee-myaso-yagnenka-s-indeykoy-sukh/?oid=532393,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
2698.00,,ПР0067658,3 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-premier-dog-dlya-melkikh-porod-svezhee-myaso-yagnenka-s-indeykoy-sukh/?oid=532395,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
